artist_id,name,followers,link,country
14587923,Yorssy,156515,https://www.deezer.com/artist/14587923,FR
249270492,R2,210478,https://www.deezer.com/artist/249270492,KR
13962203,Zola,1833847,https://www.deezer.com/artist/13962203,FR
13918541,4Keus,905981,https://www.deezer.com/artist/13918541,FR
65303292,Gambi,1029955,https://www.deezer.com/artist/65303292,FR
9884966,DTF,673475,https://www.deezer.com/artist/9884966,JP
292949,Dinos,601118,https://www.deezer.com/artist/292949,FR
14240131,Zkr,749684,https://www.deezer.com/artist/14240131,FR
162070292,Kerchak,396454,https://www.deezer.com/artist/162070292,FR
194146027,Nono La Grinta,283867,https://www.deezer.com/artist/194146027,FR
115427322,JRK 19,266620,https://www.deezer.com/artist/115427322,FR
109312472,Beendo Z,313095,https://www.deezer.com/artist/109312472,FR
179187387,La Hasba22,141591,https://www.deezer.com/artist/179187387,FR
79257132,Bilouki,116601,https://www.deezer.com/artist/79257132,
85082932,1PLIKÉ140,507806,https://www.deezer.com/artist/85082932,FR
2957,Zed,226516,https://www.deezer.com/artist/2957,DE
123033132,Gambino La MG,221698,https://www.deezer.com/artist/123033132,FR
55877602,Liim’s,173572,https://www.deezer.com/artist/55877602,
12490752,YL,807213,https://www.deezer.com/artist/12490752,FR
52937632,Niaks,480316,https://www.deezer.com/artist/52937632,FR
323311,RK,1174698,https://www.deezer.com/artist/323311,JP
7637436,Elams,412699,https://www.deezer.com/artist/7637436,FR
274705721,KLN,121912,https://www.deezer.com/artist/274705721,
728,Lara Fabian,610626,https://www.deezer.com/artist/728,BE
754,Garou,587591,https://www.deezer.com/artist/754,CA
4983,Roch Voisine,109704,https://www.deezer.com/artist/4983,CA
1060,Johnny Hallyday,1366953,https://www.deezer.com/artist/1060,FR
6815,Florent Pagny,1053315,https://www.deezer.com/artist/6815,FR
1802,Natasha St-Pier,203923,https://www.deezer.com/artist/1802,CA
1495,Pascal Obispo,613432,https://www.deezer.com/artist/1495,FR
1477,Chimène Badi,200109,https://www.deezer.com/artist/1477,FR
5196,Les Enfoirés,816085,https://www.deezer.com/artist/5196,FR
755,Patrick Fiori,578617,https://www.deezer.com/artist/755,FR
4215,Isabelle Boulay,127893,https://www.deezer.com/artist/4215,CA
1120,Jean-Jacques Goldman,1849845,https://www.deezer.com/artist/1120,
7004,Hélène Ségara,282002,https://www.deezer.com/artist/7004,FR
4664,Patricia Kaas,128418,https://www.deezer.com/artist/4664,FR
358,Mylène Farmer,956023,https://www.deezer.com/artist/358,FR
815,Axelle Red,188121,https://www.deezer.com/artist/815,BE
4509,Michel Sardou,848150,https://www.deezer.com/artist/4509,FR
7775,Tina Arena,137662,https://www.deezer.com/artist/7775,AU
1270444,Sadek,885991,https://www.deezer.com/artist/1270444,FR
434,Tiësto,4090283,https://www.deezer.com/artist/434,NL
12178,Calvin Harris,12312921,https://www.deezer.com/artist/12178,US
293585,Avicii,8355732,https://www.deezer.com/artist/293585,SE
310557,Steve Aoki,2107603,https://www.deezer.com/artist/310557,US
169361,Afrojack,2167094,https://www.deezer.com/artist/169361,NL
2046,Martin Solveig,1665632,https://www.deezer.com/artist/2046,FR
1188009,Alesso,2715628,https://www.deezer.com/artist/1188009,SE
2005781,Robin Schulz,1758524,https://www.deezer.com/artist/2005781,DE
6032634,Ofenbach,489870,https://www.deezer.com/artist/6032634,FR
10041,DJ Antoine,791969,https://www.deezer.com/artist/10041,CH
1000956,Clean Bandit,4170811,https://www.deezer.com/artist/1000956,GB
1465570,Lucas & Steve,128102,https://www.deezer.com/artist/1465570,
6157,Fedde Le Grand,288991,https://www.deezer.com/artist/6157,NL
3265001,Galantis,1669878,https://www.deezer.com/artist/3265001,SE
5462679,Jax Jones,409188,https://www.deezer.com/artist/5462679,GB
3542201,Deorro,971936,https://www.deezer.com/artist/3542201,US
5967050,Sam Feldt,139421,https://www.deezer.com/artist/5967050,NL
169954,Sander van doorn,337901,https://www.deezer.com/artist/169954,NL
368033,Nicky Romero,1503958,https://www.deezer.com/artist/368033,NL
66228482,Ronisia,517800,https://www.deezer.com/artist/66228482,FR
12414626,Driks,104254,https://www.deezer.com/artist/12414626,FR
9370,Hiro,257000,https://www.deezer.com/artist/9370,JP
10930872,Bramsito,390309,https://www.deezer.com/artist/10930872,FR
9615244,SenSey',331581,https://www.deezer.com/artist/9615244,
12218918,Ya Levis,212881,https://www.deezer.com/artist/12218918,FR
13554009,Bolémvn,426502,https://www.deezer.com/artist/13554009,FR
4986771,OBOY,655770,https://www.deezer.com/artist/4986771,
162815,Guizmo,703564,https://www.deezer.com/artist/162815,FR
204461457,Merveille,122146,https://www.deezer.com/artist/204461457,BE
1211085,Still Fresh,403175,https://www.deezer.com/artist/1211085,FR
6329070,Abou Debeing,248957,https://www.deezer.com/artist/6329070,FR
881751,MHD,1990492,https://www.deezer.com/artist/881751,FR
386709,T2R,258790,https://www.deezer.com/artist/386709,
11032458,Dj Leska,209684,https://www.deezer.com/artist/11032458,FR
314777,Shay,488483,https://www.deezer.com/artist/314777,BE
59620692,Kaza,451596,https://www.deezer.com/artist/59620692,
5312792,The Shin Sekaï,346826,https://www.deezer.com/artist/5312792,FR
1188,Maroon 5,11400628,https://www.deezer.com/artist/1188,US
1362735,Charlie Puth,2302081,https://www.deezer.com/artist/1362735,US
144227,Katy Perry,9769914,https://www.deezer.com/artist/144227,US
288166,Justin Bieber,11140186,https://www.deezer.com/artist/288166,CA
75491,Lady Gaga,9249576,https://www.deezer.com/artist/75491,US
384236,Ed Sheeran,20893043,https://www.deezer.com/artist/384236,GB
9761322,ZAYN,2703253,https://www.deezer.com/artist/9761322,GB
5962948,Shawn Mendes,6771652,https://www.deezer.com/artist/5962948,CA
